FamilyWeight;LanguageWeight;from_word;to_word
2;2;programme;project
2;2;program;project
2;2;contrive;programme
2;2;contrive;program
2;5;building permit;planning permission
2;5;construction permit;planning permission
3;5;endowment;present
2;2;poison;toxin
1;3;poison;venom
2;8;intoxication;poisoning
4;5;police;police officer
4;20;policy;politics
1;3;policy;political
1;3;policy;politic
2;4;contaminant;pollutant
2;6;pond;pool
1;5;population;stock
1;2;fowl;poultry
2;7;destitution;poverty
2;7;poverty;privation
2;7;penury;poverty
2;2;prize;reward
1;2;prime;prime number
2;2;bonus;premium
1;2;preserve;tin
1;2;conserve;tin
1;2;boar;pig
1;2;boar;hog
1;2;constraint;pressure
1;2;coercion;pressure
1;2;compulsion;pressure
1;2;printing work;typography
1;2;goods;product
1;2;multiplication;product
1;2;job performance;productivity
2;7;conservation of species;protection of species
1;3;albumen;protein
1;3;albumen;poly peptide
1;3;egg white;protein
1;3;egg white;poly peptide
1;3;glair;protein
1;3;glair;poly peptide
1;3;glaire;protein
1;3;glaire;poly peptide
1;2;domain;province
1;7;opinion survey;public opinion polling
1;3;canvass;public opinion polling
1;3;poll;public opinion polling
1;3;opinion poll;public opinion polling
1;3;public opinion poll;public opinion polling
2;2;public prosecutor;public prosecutors office
1;2;paste;wood pulp
1;3;acquisition;purchase
1;3;acquisition;buy
2;2;acquirement;purchase
2;2;acquirement;buy
2;2;career;quarry
1;3;radar;speed camera
2;3;radioisotope;radionuclide
1;2;rail traffic;rail transport
1;5;commendation;recommendation
2;6;recycling;reuse
1;2;chemical reduction;suspension
1;2;chemical reduction;reprieve
1;2;chemical reduction;respite
1;2;chemical reduction;hiatus
2;6;chemical reduction;decrease
2;6;chemical reduction;discount
2;6;discount;reduction
2;6;chemical reduction;decline
2;6;decline;reduction
2;6;chemical reduction;lessening
2;6;lessening;reduction
2;6;chemical reduction;diminution
2;6;diminution;reduction
1;2;reflection;reflectivity
1;2;reflectance;reflection
1;2;cogitation;reflection
1;2;reflection;study
1;2;meditation;reflection
1;2;contemplation;reflection
1;2;musing;reflection
1;2;fugitive;refugee
1;2;regeneration;rehabilitation
1;2;återställande;regeneration
1;2;regeneration;restoration
1;2;level of language;record
1;2;level of speech;record
1;2;record;stylistic level
1;2;record;register
1;2;language register;record
1;2;cure;ordinance
1;2;ordinance;remedy
2;3;återställande;rehabilitation
1;2;physiatry;rehabilitation
1;2;återställande;physiatry
1;2;physical medicine and rehabilitation;rehabilitation
1;2;återställande;physical medicine and rehabilitation
1;3;organized religion;religion
1;2;replacement;substitution
1;2;performance;representation
1;2;concert;representation
1;2;live show;representation
1;4;resistance;resistor
1;4;electrical resistance;resistor
1;3;resistance;stamina
1;3;electrical resistance;stamina
1;6;brathing;respiration
1;2;overhaul;restoration
1;5;basket;handbasket
1;2;hamper;handbasket
1;2;road traffic engineering;traffic engineering
1;4;certainty;safety
1;4;certainty;security
1;4;certainty;invulnerability
1;3;salination;salinization
1;3;salination;salinisation
1;5;lonely;singular
1;4;floor;soil
3;7;fixed star;sun
2;3;salt water;sea water
2;3;saline water;sea water
2;3;saltwater;sea water
2;3;salt water;seawater
2;3;saline water;seawater
2;3;saltwater;seawater
1;2;rescue;salvage
1;2;metal waste;scrap metal
2;4;morning;tomorrow
2;2;sedimentary basin;settling tank
2;4;seed;semen
1;2;delimiter;separator
1;3;eden'serpent;snake
1;2;waste water;wastewater
1;2;shelled mollusc;shellfish
3;4;boat;ship
2;4;shop;trade
1;2;emporium;shopping centre
1;2;emporium;shopping mall
1;2;emporium;shopping arcade
1;2;emporium;shopping precinct
1;2;emporium;mall
1;2;emporium;shopping center
1;3;elevator;silo
1;3;grain elevator;silo
3;4;say;speak
3;4;speak;tell
3;4;say;talk
3;4;talk;tell
1;2;chat;say
1;2;chat;tell
1;2;butcher shop;slaughterhouse
