WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
2;2;2;forest;loom
1;1;1;forest;wide
1;1;1;forest;vine
1;1;1;forest;mad
1;1;1;forest;bunch
1;1;1;forest;trap (pitfall)
1;1;1;forest;fishnet
1;1;1;forest;follow
3;2;3;forest;board
1;1;1;forest;fear (fright)
3;2;3;forest;country
2;2;2;forest;land
1;1;1;forest;native country
2;2;2;forest;thing
1;1;1;forest;lake
4;4;4;forest;pasture
3;3;3;forest;plant (vegetation)
1;1;1;forest;earthquake
1;1;1;forest;stand
1;1;1;forest;breast
1;1;1;forest;udder
7;3;7;forest;thick
1;1;1;forest;wasp
15;4;15;forest;grass
1;1;1;forest;beeswax
1;1;1;forest;refuse
1;1;1;forest;deny
1;1;1;forest;bamboo
1;1;1;forest;firewood
2;2;2;forest;club
2;1;2;forest;fishing line
1;1;1;forest;mainland
1;1;1;forest;soul
2;1;2;forest;rafter
2;1;2;forest;muroid (mouse or rat)
1;1;1;forest;tongs
1;1;1;forest;latch
3;2;3;forest;ear
1;1;1;forest;son-in-law (of woman)
1;1;1;forest;son-in-law (of man)
1;1;1;forest;shake
1;1;1;forest;shiver
1;1;1;forest;cultivate
1;1;1;forest;do or make
2;1;2;forest;early
1;1;1;forest;squirrel
1;1;1;forest;anthill
1;1;1;forest;boy
1;1;1;forest;darkness
1;1;1;forest;arm
1;1;1;forest;come
2;2;2;forest;field
3;2;3;forest;old (aged)
1;1;1;forest;two
